,Gh,Gh_err,Hh,Hh_err,Sh,Sh_err,Cph,Cph_err,V,V_err,a1,a2,a3,a4,c1,c2,omega,note,Gig,Hig,Sig,Cpig,Gaq,Haq,Saq,Cpaq,formula
methanol,,,,,,,,,,,,,,,,,,methanol encountered errors with group(s): ['O-[CX4H3]']. Are these groups assigned properties in the data file? ;methanol encountered errors with group(s): ['O-[CX4H3]']. Are these groups assigned properties in the data file? ;methanol encountered errors with group(s): ['O-[CX4H3]']. Are these groups assigned properties in the data file? ;methanol encountered errors with group(s): ['O-[CX4H3]']. Are these groups assigned properties in the data file? ;,-179.28,-216.2,245.84571323159508,41.726071753642934,,,,,CH4O
ethanol,-13.02,0.32,-53.99,0.68,-137.4,3.8,209,10,55.28,1.16,46.6668873248,32.359463664,43.63507273359673,-18.891539893344003,247.82661391096582,10.34602,-0.5177745608955808,,-170.85999999999996,-236.83999999999997,284.7979956397789,64.62091209927158,-183.87999999999997,-290.83,147.38394231091758,273.62091209927155,C2H6O
1-propanol,-12.34,0.32,-57.51,0.69,-151.5,4.3,271,10,70.89,1.17,59.755146070799995,41.729015694000005,62.270042408706374,-25.732305707724,331.3579331722554,10.92334,-0.5384359821255105,,-162.44,-257.47999999999996,323.7502780479632,87.51575244490026,-174.78,-314.98999999999995,172.2493556934437,358.5157524449003,C3H8O
2-propanol,-11.71,0.38,-58.89,0.85,-158.2,5.6,279,13,71.07,1.36,59.823682782599995,42.050335143,62.496240337329176,-25.834040016677996,337.87775017737243,11.458209999999998,-0.5578232821816052,,-164.88,-262.76,314.22487137347036,87.30108970594105,-176.59,-321.65,155.98237598524298,366.3010897059411,C3H8O
1-butanol,-11.66,0.32,-61.03,0.69,-165.6,4.9,333,10,86.50,1.17,72.80396022,51.2006821,81.19804918446903,-32.649248846599995,414.8867208829882,11.500659999999998,-0.5593721885390188,,-154.01999999999998,-278.11999999999995,362.70256045614707,110.41059279052894,-165.67999999999998,-339.15,197.1147690759691,443.41059279052894,C4H10O
2-butanol,-11.03,0.38,-62.41,0.86,-172.3,6.4,341,13,86.68,1.36,72.85399738320001,51.56989327600001,81.56114110909694,-32.78671038389601,421.4041471402826,12.03553,-0.5790189904555745,,-156.45999999999998,-283.40000000000003,353.177153781654,110.19593005156975,-167.48999999999998,-345.81000000000006,180.8477893677683,451.19593005156975,C4H10O
2-methyl-1-propanol,-11.23,0.36,-59.84,0.87,-163.0,5.7,324,14,86.80,1.41,72.98711151199998,51.55778516,81.66139405744501,-32.82147772936,404.80690121279235,11.86573,-0.5727555730138469,,-156.45999999999998,-283.40000000000003,353.177153781654,110.19593005156975,-167.68999999999997,-343.24,190.13841489183358,434.19593005156975,C4H10O
2-methyl-2-propanol,-10.93,0.43,-64.32,1.01,-179.1,7.6,349,14,86.72,1.77,72.87150455679999,51.635403423999996,81.63293793239657,-32.813680954304,429.0972605708173,12.120429999999999,-0.5821599527233334,,-151.18,-286.86999999999995,323.8295099781998,110.09050576976009,-162.11,-351.18999999999994,144.75857253060633,459.09050576976006,C4H10O
1-pentanol,-10.98,0.32,-64.55,0.69,-179.7,5.6,395,10,102.11,1.17,85.8133297724,60.774462882,100.41907022094502,-39.642369309972004,498.41292620281047,12.077979999999998,-0.5805886985627096,,-145.6,-298.75999999999993,401.65484286433116,133.3054331361576,-156.57999999999998,-363.30999999999995,221.98018245849505,528.3054331361576,C5H12O
2-pentanol,-10.35,0.38,-65.93,0.86,-186.4,7.3,403,13,102.29,1.36,85.84486738700001,61.19156578500001,100.9190344320364,-39.81555807561001,504.92791338812856,12.61285,-0.6005002476473509,,-148.04,-304.04,392.1294361898381,133.09077039719838,-158.39,-369.97,205.71320275029416,536.0907703971984,C5H12O
3-pentanol,-10.35,0.38,-65.93,0.86,-186.4,7.3,403,13,102.29,1.36,85.84486738700001,61.19156578500001,100.9190344320364,-39.81555807561001,504.92791338812856,12.61285,-0.6005002476473509,,-148.04,-304.04,392.1294361898381,133.09077039719838,-158.39,-369.97,205.71320275029416,536.0907703971984,C5H12O
2-methyl-1-butanol,-10.55,0.36,-63.36,0.87,-177.1,6.5,386,14,102.41,1.41,85.98363057899999,61.164833345,100.97750722342656,-39.83941567537,488.3314466920866,12.443049999999998,-0.5941522491349489,,-148.04,-304.04,392.1294361898381,133.09077039719838,-158.59,-367.40000000000003,215.0038282743593,519.0907703971984,C5H12O
2-methyl-2-butanol,-10.25,0.43,-67.84,1.02,-193.2,8.6,411,15,102.33,1.78,85.859423685,61.264715175,101.01266281753678,-39.84822752055,512.62063546912,12.69775,-0.6036836886465053,,-142.76,-307.50999999999993,362.7817923863837,132.98534611538875,-153.01,-375.3499999999999,169.62398591313206,543.9853461153888,C5H12O
